Series Name,Series Code,Time,Time Code,Austria [AUT],Belgium [BEL],Bulgaria [BGR],Croatia [HRV],Czech Republic [CZE],Denmark [DNK],Cyprus [CYP],Estonia [EST],Finland [FIN],France [FRA],Germany [DEU],Greece [GRC],Hungary [HUN],Ireland [IRL],Italy [ITA],Latvia [LVA],Liechtenstein [LIE],Lithuania [LTU],Iceland [ISL],Luxembourg [LUX],Malta [MLT],Netherlands [NLD],Poland [POL],Portugal [PRT],Romania [ROU],Slovak Republic [SVK],Slovenia [SVN],Spain [ESP],Sweden [SWE],Norway [NOR],European Union [EUU]
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1964,YR1964,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1965,YR1965,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1966,YR1966,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1970,YR1970,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1975,YR1975,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1976,YR1976,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1978,YR1978,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1979,YR1979,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1980,YR1980,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1981,YR1981,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1982,YR1982,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1983,YR1983,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1984,YR1984,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1985,YR1985,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1986,YR1986,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1987,YR1987,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1988,YR1988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1989,YR1989,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1990,YR1990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1991,YR1991,58.5040016174316,65.8030014038086,39.3339996337891,47.0019989013672,46.3489990234375,67.8030014038086,58.0289993286133,43.7000007629395,62.2779998779297,65.8639984130859,58.931999206543,52.8699989318848,52.3409996032715,58.5999984741211,56.7140007019043,50.5509986877441,..,46.0940017700195,63.8680000305176,69.3880004882813,62.435001373291,70.7669982910156,38.242000579834,54.1679992675781,30.3129997253418,46.7999992370605,43.1539993286133,57.4010009765625,69.8239974975586,70.7460021972656,55.135023799084
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1992,YR1992,59.0289993286133,66.4800033569336,40.4519996643066,47.7130012512207,47.5359992980957,68.1190032958984,59.3390007019043,45.9109992980957,63.4910011291504,66.3310012817383,59.3110008239746,53.6479988098145,53.6290016174316,59.0929985046387,57.3639984130859,52.0699996948242,..,47.1590003967285,64.8649978637695,69.9509963989258,62.6660003662109,71.2129974365234,40.0460014343262,54.7669982910156,29.9169998168945,48.6469993591309,44.25,58.2239990234375,70.2639999389648,71.0670013427734,55.8142609983178
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1993,YR1993,59.7550010681152,67.911003112793,42.2879981994629,48.1240005493164,48.6619987487793,68.7509994506836,60.9949989318848,50.75,64.379997253418,67.036003112793,59.9690017700195,54.5180015563965,57.101001739502,59.7290000915527,58.8040008544922,53.1749992370605,..,47.890998840332,65.6920013427734,70.3769989013672,62.8390007019043,71.7850036621094,41.9500007629395,55.5769996643066,28.1900005340576,49.7589988708496,45.1440010070801,59.1809997558594,70.7220001220703,71.5220031738281,56.6654412824938
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1994,YR1994,60.3339996337891,68.234001159668,44.1199989318848,49.0390014648438,50.367000579834,68.4410018920898,62.7540016174316,53.351001739502,64.9169998168945,67.984001159668,60.3429985046387,55.5740013122559,58.2820014953613,59.5839996337891,59.3429985046387,54.201000213623,..,48.9010009765625,65.0739974975586,69.870002746582,63.0349998474121,72.6669998168945,44.0060005187988,55.7630004882813,28.1100006103516,50.1300010681152,46.0419998168945,60.2519989013672,70.9100036621094,71.4380035400391,57.431009205813
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1995,YR1995,60.5629997253418,69.0690002441406,45.7680015563965,50.2140007019043,51.1080017089844,68.5279998779297,63.6539993286133,55.5900001525879,64.6449966430664,68.1699981689453,60.826000213623,56.3709983825684,59.4020004272461,60.2089996337891,59.757999420166,54.8370018005371,..,49.4379997253418,65.4869995117188,70.8720016479492,63.2439994812012,72.818000793457,45.3610000610352,56.3390007019043,28.7169990539551,51.898998260498,46.4259986877441,60.8040008544922,71.0270004272461,71.4860000610352,58.0504069297589
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1996,YR1996,62.273998260498,69.6210021972656,47.7789993286133,50.9560012817383,51.7750015258789,69.7279968261719,65.3840026855469,56.6259994506836,65.0199966430664,68.6699981689453,61.7949981689453,56.8489990234375,58.5359992980957,61.4329986572266,60.5209999084473,55.4710006713867,..,50.2130012512207,66.5120010375977,74.4160003662109,63.6080017089844,73.0589981079102,46.2410011291504,56.5270004272461,30.5200004577637,51.5660018920898,47.8030014038086,62.1730003356934,70.875,71.5899963378906,58.9219493015938
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1997,YR1997,63.4650001525879,69.7969970703125,49.1650009155273,52.689998626709,52.6479988098145,70.0250015258789,67.0540008544922,56.8709983825684,64.8030014038086,68.8050003051758,62.3839988708496,57.6940002441406,58.9570007324219,60.5369987487793,61.4949989318848,52.5880012512207,..,50.8199996948242,66.2389984130859,74.3349990844727,63.9770011901855,73.4140014648438,47.2249984741211,55.6959991455078,28.8320007324219,51.5480003356934,47.3569984436035,62.0449981689453,71.2089996337891,71.4540023803711,59.2412281597836
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1998,YR1998,63.951000213623,70.5169982910156,50.8530006408691,53.1199989318848,52.939998626709,69.8420028686523,68.3249969482422,57.7480010986328,64.629997253418,69.2639999389648,62.8300018310547,58.867000579834,57.8790016174316,62.2229995727539,61.5040016174316,53.9199981689453,..,51.375,64.7200012207031,75.4729995727539,64.318000793457,73.754997253418,48.1599998474121,50.8619995117188,29.2509994506836,52.4199981689453,48.4150009155273,61.7919998168945,71.0640029907227,72.4570007324219,59.548191406434
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,1999,YR1999,64.0090026855469,71.8359985351563,52.3330001831055,53.8390007019043,54.1230010986328,69.7529983520508,69.6139984130859,59.7849998474121,65.8899993896484,69.4619979858398,63.3019981384277,59.6069984436035,58.693000793457,63.0559997558594,62.2050018310547,56.7519989013672,..,52.9410018920898,67.9410018920898,76.0630035400391,64.7770004272461,74.4609985351563,49.2569999694824,52.859001159668,28.9249992370605,54.3190002441406,51.3540000915527,62.1150016784668,72.0210037231445,73.1429977416992,60.3206240604538
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2000,YR2000,63.9249992370605,72.2789993286133,53.9710006713867,54.2309989929199,54.8359985351563,70.9940032958984,70.8259963989258,58.6450004577637,65.8399963378906,69.5830001831055,63.8320007324219,60.0040016174316,59.7639999389648,63.5880012512207,62.9809989929199,58.3160018920898,..,53.9819984436035,69.1849975585938,76.7630004882813,65.2109985351563,75.1419982910156,50.2700004577637,52.8810005187988,29.0020008087158,55.8129997253418,52.7459983825684,62.4850006103516,72.7320022583008,73.9229965209961,61.0138130611858
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2001,YR2001,64.8300018310547,73.1320037841797,57.5390014648438,54.3059997558594,54.6020011901855,71.0599975585938,71.4670028686523,59.9020004272461,67.0839996337891,69.8960037231445,64.6029968261719,61.0699996948242,59.390998840332,63.9599990844727,63.0559997558594,58.2620010375977,..,55.7900009155273,69.3779983520508,77.0449981689453,66.7300033569336,75.306999206543,50.0740013122559,53.3769989013672,29.7269992828369,56.6829986572266,51.4290008544922,61.9860000610352,73.6110000610352,74.1630020141602,61.5121523090433
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2002,YR2002,65.3889999389648,72.4260025024414,56.6319999694824,54.6259994506836,54.976001739502,73.3010025024414,71.5640029907227,63.6030006408691,67.3259963989258,70.4720001220703,65.1460037231445,61.9700012207031,59.7430000305176,65.3450012207031,63.4770011901855,58.2369995117188,..,53.9900016784668,70.0839996337891,77.9390029907227,66.1330032348633,76.0849990844727,51.8330001831055,54.0439987182617,32.7070007324219,55.257999420166,51.5870018005371,62.9550018310547,74.5179977416992,74.375,62.5304042383884
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2003,YR2003,65.5770034790039,73.3600006103516,56.7309989929199,52.882999420166,55.6119995117188,73.5589981079102,71.9380035400391,63.064998626709,68.0260009765625,71.609001159668,66.197998046875,62.423999786377,61.2220001220703,65.7600021362305,63.5180015563965,58.6829986572266,..,54.0509986877441,71.3610000610352,77.9919967651367,67.6579971313477,77.0469970703125,53.2550010681152,54.3660011291504,33.1809997558594,55.8699989318848,54.4370002746582,63.5830001831055,74.8580017089844,74.5019989013672,63.3143951406013
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2004,YR2004,68.3649978637695,72.8430023193359,56.3380012512207,53.3950004577637,56.257999420166,73.036003112793,71.5189971923828,60.984001159668,68.9209976196289,71.8789978027344,66.390998840332,65.1740036010742,61.7939987182617,66.0289993286133,65.0250015258789,59.757999420166,..,55.5120010375977,70.3219985961914,79.1849975585938,68.2959976196289,76.6070022583008,53.3549995422363,56.6419982910156,36.3660011291504,55.6980018615723,53.8730010986328,64.3109970092773,75.1460037231445,75.6259994506836,64.0305691132659
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2005,YR2005,67.1510009765625,73.2750015258789,56.8190002441406,54.0719985961914,56.5369987487793,72.9250030517578,71.213996887207,60.7330017089844,69.3690032958984,72.5869979858398,67.786003112793,65.4499969482422,62.6580009460449,66.4929962158203,65.1169967651367,61.4729995727539,..,56.6689987182617,71.7779998779297,80.9680023193359,68.0550003051758,75.2590026855469,53.3730010986328,57.5610008239746,37.2550010681152,56.4259986877441,53.8289985656738,65.1309967041016,75.6380004882813,75.8470001220703,64.614042895178
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2006,YR2006,66.5940017700195,73.3529968261719,57.4199981689453,56.4049987792969,56.265998840332,73.5810012817383,73.0940017700195,61.3950004577637,69.6380004882813,72.4629974365234,68.0800018310547,66.2559967041016,62.9169998168945,66.5220031738281,65.6760025024414,61.1699981689453,..,56.5970001220703,72.1389999389648,81.4779968261719,69.6309967041016,75.7259979248047,54.2290000915527,57.7820014953613,38.6889991760254,56.7939987182617,54.9280014038086,65.7910003662109,75.8610000610352,75.9250030517578,65.0054212998138
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2007,YR2007,67.1490020751953,73.7170028686523,56.9550018310547,57.0029983520508,56.201000213623,73.5289993286133,73.0960006713867,60.0950012207031,69.7460021972656,73.2210006713867,67.8450012207031,66.2259979248047,62.898998260498,68.7890014648438,65.9020004272461,61.1870002746582,..,58.1259994506836,73.1839981079102,81.234001159668,71.8649978637695,76.8850021362305,54.5309982299805,57.9169998168945,39.064998626709,56.4099998474121,54.8689994812012,66.375,76.1029968261719,75.9560012817383,65.3169563333384
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2008,YR2008,68.5130004882813,73.7750015258789,56.0999984741211,56.3300018310547,56.2999992370605,74.3570022583008,72.7229995727539,60.8310012817383,70.3310012817383,74.0110015869141,68.8720016479492,66.6370010375977,63.4620018005371,71.4260025024414,66.5009994506836,62.6440010070801,..,61.4189987182617,73.3929977416992,83.0559997558594,72.6490020751953,77.7099990844727,54.1389999389648,59.568000793457,39.6940002441406,55.9169998168945,56.2919998168945,68.125,76.5530014038086,76.2570037841797,66.1055717311804
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2009,YR2009,69.7080001831055,75.0380020141602,57.6720008850098,57.6669998168945,58.3120002746582,77.1230010986328,74.2490005493164,64.5039978027344,71.4290008544922,74.4000015258789,69.5210037231445,67.1729965209961,64.234001159668,74.556999206543,67.0709991455078,66.9059982299805,..,64.1669998168945,75.6650009155273,85.7350006103516,73.515998840332,78.3509979248047,55.6049995422363,60.7480010986328,40.8919982910156,58.4850006103516,57.7190017700195,71.2910003662109,77.6640014648438,77.0830001831055,67.312224580754
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2010,YR2010,69.8789978027344,75.2730026245117,60.2060012817383,58.2939987182617,58.9169998168945,77.9710006713867,75.802001953125,65.4649963378906,72.2600021362305,74.8379974365234,70.0429992675781,68.0169982910156,64.754997253418,76.1600036621094,67.6230010986328,68.3109970092773,..,66.6100006103516,75.9710006713867,85.5510025024414,73.1460037231445,79.2379989624023,56.6430015563965,61.5460014343262,40.6730003356934,59.6500015258789,58.601001739502,72.8270034790039,77.9960021972656,77.7559967041016,68.0370187503961
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2011,YR2011,69.0370025634766,75.4660034179688,61.765998840332,57.4599990844727,58.5579986572266,77.7109985351563,75.2740020751953,63.1529998779297,72.7750015258789,74.9179992675781,70.1190032958984,69.9619979858398,64.2750015258789,76.822998046875,68.0299987792969,68.1959991455078,..,66.9560012817383,75.9570007324219,85.4069976806641,74.3119964599609,80.0469970703125,56.4189987182617,62.9360008239746,42.1809997558594,59.431999206543,59.7430000305176,74.1399993896484,78.0859985351563,77.3840026855469,68.4315065674881
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2012,YR2012,69.245002746582,77.0719985961914,62.2379989624023,59.8349990844727,58.8269996643066,77.6969985961914,76.9169998168945,64.4029998779297,73.0550003051758,75.3209991455078,70.2460021972656,70.4530029296875,65.1449966430664,77.2320022583008,68.7239990234375,68.1500015258789,..,66.120002746582,76.2269973754883,86.0029983520508,76.7900009155273,80.0609970092773,57.0060005187988,64.0439987182617,42.0810012817383,59.2270011901855,60.6360015869141,75.1119995117188,78.2959976196289,77.5429992675781,68.8619705885147
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2013,YR2013,69.5169982910156,76.9369964599609,63.1529998779297,61.5890007019043,59.4580001831055,77.9929962158203,79.3320007324219,65.4649963378906,73.0199966430664,75.620002746582,70.7760009765625,70.7480010986328,65.3280029296875,76.9929962158203,69.3519973754883,68.0220031738281,..,66.052001953125,76.9189987182617,86.3720016479492,77.1640014648438,81.3889999389648,57.4609985351563,66.072998046875,42.4640007019043,60.867000579834,60.4669990539551,75.9520034790039,78.806999206543,77.4769973754883,69.4271078759888
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2014,YR2014,69.4120025634766,77.3889999389648,62.8769989013672,63.5019989013672,59.2120018005371,78.2600021362305,79.052001953125,65.9940032958984,73.8489990234375,76.6210021972656,70.5199966430664,71.4509963989258,64.8219985961914,77.2559967041016,69.4550018310547,68.6490020751953,..,66.1100006103516,77.0339965820313,87.5910034179688,77.9860000610352,81.4810028076172,57.9669990539551,67.4940032958984,42.7239990234375,61.0579986572266,59.4410018920898,76.306999206543,79.4209976196289,77.3109970092773,69.6724219179298
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2015,YR2015,69.7050018310547,77.3889999389648,63.2490005493164,64.0599975585938,59.048999786377,78.213996887207,79.7799987792969,65.4359970092773,74.0719985961914,76.8789978027344,70.9169998168945,72.1630020141602,64.7710037231445,76.552001953125,69.6480026245117,68.4150009155273,..,65.8580017089844,77.9240036010742,86.431999206543,78.5220031738281,81.2490005493164,57.9290008544922,68.1210021972656,45.9550018310547,60.7089996337891,60.9150009155273,75.9720001220703,79.677001953125,77.8659973144531,69.9759747604911
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2016,YR2016,70.088996887207,77.4860000610352,63.4570007324219,65.4229965209961,59.0270004272461,78.8249969482422,79.3059997558594,66.3830032348633,73.9789962768555,76.8339996337891,71.3099975585938,72.3830032348633,64.5220031738281,76.1689987182617,69.9929962158203,68.1940002441406,..,66.8870010375977,78.6449966430664,86.9250030517578,78.9729995727539,81.2539978027344,57.9679985046387,68.5869979858398,47.015998840332,60.6440010070801,61.8030014038086,76.1709976196289,79.9150009155273,78.443000793457,70.2368742228412
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2017,YR2017,71.1480026245117,78.0800018310547,63.0870018005371,66.6050033569336,59.1389999389648,78.9869995117188,80.4250030517578,66.5100021362305,74.0810012817383,76.8850021362305,71.3190002441406,72.5110015869141,63.439998626709,76.1110000610352,70.213996887207,69.8249969482422,..,67.0820007324219,78.7600021362305,87.8479995727539,79.1949996948242,81.2070007324219,58.1119995117188,68.859001159668,47.0989990234375,60.1300010681152,61.1870002746582,75.5899963378906,80.004997253418,78.5319976806641,70.2491862878367
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2018,YR2018,70.870002746582,77.943000793457,63.3089981079102,66.3369979858398,59.7000007629395,79.109001159668,81.1740036010742,67.056999206543,73.9509963989258,77.2030029296875,71.411003112793,72.4850006103516,62.7280006408691,76.4160003662109,70.1389999389648,69.3669967651367,..,67.0500030517578,79.177001953125,87.1940002441406,80.3479995727539,81.7310028076172,58.564998626709,69.109001159668,47.6629981994629,61.1910018920898,61.1699981689453,75.4629974365234,80.1490020751953,78.4290008544922,70.4292947869602
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2019,YR2019,71.1630020141602,78.1940002441406,63.4640007019043,66.5459976196289,59.9939994812012,79.3460006713867,81.5009994506836,67.2799987792969,74.2060012817383,77.4710006713867,71.7470016479492,72.8040008544922,62.6049995422363,76.6790008544922,70.4440002441406,69.5179977416992,..,67.2109985351563,79.6289978027344,87.2949981689453,80.7020034790039,81.9670028686523,58.826000213623,69.4120025634766,48.1990013122559,61.564998626709,61.3250007629395,75.6259994506836,80.4440002441406,78.6699981689453,70.7483615250691
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,2020,YR2020,71.4749984741211,78.4169998168945,63.6520004272461,66.7750015258789,60.2360000610352,79.6139984130859,81.7360000610352,67.5650024414063,74.4700012207031,77.7279968261719,72.052001953125,73.1230010986328,62.6300010681152,76.9820022583008,70.7779998779297,69.765998840332,..,67.4349975585938,80.0640029907227,87.4619979858398,81.0070037841797,82.1949996948242,59.1030006408691,69.7509994506836,48.5699996948242,61.8339996337891,61.4780006408691,75.8259963989258,80.6869964599609,78.8899993896484,71.0474994468614
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1960,YR1960,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1961,YR1961,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1962,YR1962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1963,YR1963,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1964,YR1964,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1965,YR1965,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1966,YR1966,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1970,YR1970,13161188357.2342,23271720371.9843,..,..,..,14497956263.826,..,..,9847791991.81315,130654402045.284,189198258858.638,12237169267.978,..,4269082266.64764,101496556205.115,..,..,..,..,864025401.038861,..,34223037195.436,..,6731900155.9521,..,..,..,35678890390.0288,33441674368.3845,10691600154.0308,636239596070.389
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1971,YR1971,15271022772.6959,26031349960.5479,..,..,..,16141569137.9751,..,..,10754446563.1925,145801088929.131,217825173641.536,13599506685.2983,..,4936723724.54532,111723093006.567,..,..,..,..,887512645.760588,..,39545528436.0417,..,7613808639.75904,..,..,..,40709996990.3372,36478200583.0688,12273376991.4909,717385954094.702
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1972,YR1972,18861094605.226,32520939995.5815,..,..,..,19681993433.5952,..,..,12630566857.5964,178002150459.259,260507843359.072,15653267960.455,..,6119612067.66483,130174455435.315,..,..,..,..,1159340239.33478,..,48598838268.1282,..,9295270074.31258,..,..,..,52085726530.0213,42972305853.7119,14581822275.7094,864495982744.221
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1973,YR1973,25299873331.2525,41948894715.3997,..,..,..,26567258166.1758,..,..,16610945573.9443,230778693906.252,346430737446.492,20702583236.1032,..,7173712591.8333,156401570463.026,..,..,..,..,1556821677.72724,..,64816846759.8906,..,12763718221.154,..,..,..,69659282984.9629,52124950603.8045,19001765292.966,1119767348183.78
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1974,YR1974,30105532352.5329,49081930179.4365,..,..,..,28984054366.6706,..,..,21022901767.5111,247006252528.763,384365094657.699,23495240727.0398,..,7510455473.65137,175078871815.004,..,..,..,..,1995119347.86239,..,75575011092.6172,..,15023192017.9882,..,..,..,86107224959.2802,57470304535.0769,22630733388.8406,1255438881701.12
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1975,YR1975,34134838699.5495,57576764158.956,..,..,..,34455779271.6416,..,..,24639662463.6244,310444441009.587,420564870370.59,26260663086.5463,..,9097905700.94219,197056802712.448,..,..,..,..,2085705907.75967,..,87257864587.4529,..,16274524105.7035,..,..,..,100723080554.81,72423126041.6738,27269332860.0981,1453932967812.92
